time,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
23.578,0.0,0.0,-0.25,0.25,0.0,0.0
23.678,0.0,0.0,-0.25,0.25,0.0,0.0
23.778,0.0,0.0,-0.25,0.25,0.0,0.0
23.878,0.0,0.0,-0.25,0.25,0.0,0.0
23.978,0.0,0.0,-0.25,0.25,0.0,0.0
24.078,0.0,0.0,-0.25,0.25,0.0,0.0
24.178,0.0,0.0,-0.25,0.25,0.0,0.0
24.281,0.0,0.0,-0.25,0.25,0.0,0.0
24.378,0.0,0.0,-0.25,0.25,0.0,0.0
24.478,0.0,0.0,-0.25,0.25,0.0,0.0
24.578,0.0,0.0,-0.25,0.25,0.0,0.0
24.678,0.0,0.0,-0.25,0.25,0.0,0.0
24.778,0.0,0.0,-0.25,0.25,0.0,0.0
24.879,0.0,0.0,-0.25,0.25,0.0,0.0
24.979,0.0,0.0,-0.25,0.25,0.0,0.0
25.078,0.0,0.0,-0.25,0.25,0.0,0.0
25.179,0.0,0.0,-0.25,0.25,0.0,0.0
25.279,0.0,0.0,-0.25,0.25,0.0,0.0
25.383,0.0,0.0,-0.25,0.25,0.0,0.0
25.479,0.0,0.0,-0.25,0.25,0.0,0.0
25.578,0.0,0.0,-0.25,0.25,0.0,0.0
25.678,0.0,0.0,-0.25,0.25,0.0,0.0
25.779,0.0,0.0,-0.25,0.25,0.0,0.0
25.878,0.0,0.0,-0.25,0.25,0.0,0.0
25.978,0.0,0.0,-0.25,0.25,0.0,0.0
26.078,0.0,0.0,-0.25,0.25,0.0,0.0
26.179,0.0,0.0,-0.25,0.25,0.0,0.0
26.278,0.0,0.0,-0.25,0.25,0.0,0.0
26.378,0.0,0.0,-0.25,0.25,0.0,0.0
26.479,0.0,0.0,-0.25,0.25,0.0,0.0
26.578,0.0,0.0,-0.25,0.25,0.0,0.0
26.679,0.0,0.0,-0.25,0.25,0.0,0.0
26.778,0.0,0.0,-0.25,0.25,0.0,0.0
26.878,0.0,0.0,-0.25,0.25,0.0,0.0
26.978,0.0,0.0,-0.25,0.25,0.0,0.0
27.078,0.0,0.0,-0.25,0.25,0.0,0.0
27.179,0.0,0.0,-0.25,0.25,0.0,0.0
27.278,0.0,0.0,-0.25,0.25,0.0,0.0
27.378,0.0,0.0,-0.25,0.25,0.0,0.0
27.479,0.0,0.0,-0.25,0.25,0.0,0.0
27.578,0.0,0.0,-0.25,0.25,0.0,0.0
27.678,0.0,0.0,-0.25,0.25,0.0,0.0
27.778,0.0,0.0,-0.25,0.25,0.0,0.0
27.881,0.0,0.0,-0.25,0.25,0.0,0.0
27.979,0.0,0.0,-0.25,0.25,0.0,0.0
28.078,0.0,0.0,-0.25,0.25,0.0,0.0
28.178,0.0,0.0,-0.25,0.25,0.0,0.0
28.278,0.0,0.0,-0.25,0.25,0.0,0.0
28.379,0.0,0.0,-0.25,0.25,0.0,0.0
28.478,0.0,0.0,-0.25,0.25,0.0,0.0
28.579,0.0,0.0,-0.25,0.25,0.0,0.0
28.679,0.0,0.0,-0.25,0.25,0.0,0.0
28.778,0.0,0.0,-0.25,0.25,0.0,0.0
28.878,0.0,0.0,-0.25,0.25,0.0,0.0
28.978,0.0,0.0,-0.25,0.25,0.0,0.0
29.078,0.0,0.0,-0.25,0.25,0.0,0.0
29.179,0.0,0.0,-0.25,0.25,0.0,0.0
29.278,0.0,0.0,-0.25,0.25,0.0,0.0
29.379,0.0,0.0,-0.25,0.25,0.0,0.0
29.478,0.0,0.0,-0.25,0.25,0.0,0.0
29.578,0.0,0.0,-0.25,0.25,0.0,0.0
29.678,0.0,0.0,-0.25,0.25,0.0,0.0
29.778,0.0,0.0,-0.25,0.25,0.0,0.0
29.878,0.0,0.0,-0.25,0.25,0.0,0.0
29.979,0.0,0.0,-0.25,0.25,0.0,0.0
30.078,0.0,0.0,-0.25,0.25,0.0,0.0
30.179,0.0,0.0,-0.25,0.25,0.0,0.0
30.278,0.0,0.0,-0.25,0.25,0.0,0.0
30.378,0.0,0.0,-0.25,0.25,0.0,0.0
30.478,0.0,0.0,-0.25,0.25,0.0,0.0
30.578,0.0,0.0,-0.25,0.25,0.0,0.0
30.679,0.0,0.0,-0.25,0.25,0.0,0.0
30.778,0.0,0.0,-0.25,0.25,0.0,0.0
30.878,0.0,0.0,-0.25,0.25,0.0,0.0
30.978,0.0,0.0,-0.25,0.25,0.0,0.0
31.081,0.0,0.0,-0.25,0.25,0.0,0.0
31.179,0.0,0.0,-0.25,0.25,0.0,0.0
31.279,0.0,0.0,-0.25,0.25,0.0,0.0
31.379,0.0,0.0,-0.25,0.25,0.0,0.0
31.479,0.0,0.0,-0.25,0.25,0.0,0.0
31.578,0.0,0.0,-0.25,0.25,0.0,0.0
31.679,0.0,0.0,-0.25,0.25,0.0,0.0
31.778,0.0,0.0,-0.25,0.25,0.0,0.0
31.878,0.0,0.0,-0.25,0.25,0.0,0.0
31.978,0.0,0.0,-0.25,0.25,0.0,0.0
32.078,0.0,0.0,-0.25,0.25,0.0,0.0
32.181,0.0,0.0,-0.25,0.25,0.0,0.0
32.278,0.0,0.0,-0.25,0.25,0.0,0.0
32.378,0.0,0.0,-0.25,0.25,0.0,0.0
32.478,0.0,0.0,-0.25,0.25,0.0,0.0
32.578,0.0,0.0,-0.25,0.25,0.0,0.0
32.678,0.0,0.0,-0.25,0.25,0.0,0.0
32.778,0.0,0.0,-0.25,0.25,0.0,0.0
32.878,0.0,0.0,-0.25,0.25,0.0,0.0
32.978,0.0,0.0,-0.25,0.25,0.0,0.0
33.085,0.0,0.0,-0.25,0.25,0.0,0.0
33.178,0.0,0.0,-0.25,0.25,0.0,0.0
33.279,0.0,0.0,-0.25,0.25,0.0,0.0
33.379,0.0,0.0,-0.25,0.25,0.0,0.0
33.478,0.0,0.0,-0.25,0.25,0.0,0.0
33.578,0.0,0.0,-0.25,0.25,0.0,0.0
33.678,0.0,0.0,-0.25,0.25,0.0,0.0
33.777,0.0,0.0,-0.25,0.25,0.0,0.0
33.878,0.0,0.0,-0.25,0.25,0.0,0.0
33.979,0.0,0.0,-0.25,0.25,0.0,0.0
34.081,0.0,0.0,-0.25,0.25,0.0,0.0
34.178,0.0,0.0,-0.25,0.25,0.0,0.0
34.278,0.0,0.0,-0.25,0.25,0.0,0.0
34.378,0.0,0.0,-0.25,0.25,0.0,0.0
34.479,0.0,0.0,-0.25,0.25,0.0,0.0
34.581,0.0,0.0,-0.25,0.25,0.0,0.0
34.678,0.0,0.0,-0.25,0.25,0.0,0.0
34.779,0.0,0.0,-0.25,0.25,0.0,0.0
34.878,0.0,0.0,-0.25,0.25,0.0,0.0
34.978,0.0,0.0,-0.25,0.25,0.0,0.0
35.078,0.0,0.0,-0.25,0.25,0.0,0.0
35.18,0.0,0.0,-0.25,0.25,0.0,0.0
35.278,0.0,0.0,-0.25,0.25,0.0,0.0
35.378,0.0,0.0,-0.25,0.25,0.0,0.0
35.478,0.0,0.0,-0.25,0.25,0.0,0.0
35.578,0.0,0.0,-0.25,0.25,0.0,0.0
35.678,0.0,0.0,-0.25,0.25,0.0,0.0
35.778,0.0,0.0,-0.25,0.25,0.0,0.0
35.878,0.0,0.0,-0.25,0.25,0.0,0.0
35.978,0.0,0.0,-0.25,0.25,0.0,0.0
36.078,0.0,0.0,-0.25,0.25,0.0,0.0
36.178,0.0,0.0,-0.25,0.25,0.0,0.0
36.279,0.0,0.0,-0.25,0.25,0.0,0.0
36.378,0.0,0.0,-0.25,0.25,0.0,0.0
36.478,0.0,0.0,-0.25,0.25,0.0,0.0
36.578,0.0,0.0,-0.25,0.25,0.0,0.0
36.678,0.0,0.0,-0.25,0.25,0.0,0.0
36.778,0.0,0.0,-0.25,0.25,0.0,0.0
36.878,0.0,0.0,-0.25,0.25,0.0,0.0
36.978,0.0,0.0,-0.25,0.25,0.0,0.0
37.079,0.0,0.0,-0.25,0.25,0.0,0.0
37.178,0.0,0.0,-0.25,0.25,0.0,0.0
37.278,0.0,0.0,-0.25,0.25,0.0,0.0
37.379,0.0,0.0,-0.25,0.25,0.0,0.0
37.479,0.0,0.0,-0.25,0.25,0.0,0.0
37.578,0.0,0.0,-0.25,0.25,0.0,0.0
37.681,0.0,0.0,-0.25,0.25,0.0,0.0
37.778,0.0,0.0,-0.25,0.25,0.0,0.0
37.88,0.0,0.0,-0.25,0.25,0.0,0.0
37.978,0.0,0.0,-0.25,0.25,0.0,0.0
38.078,0.0,0.0,-0.25,0.25,0.0,0.0
38.18,0.0,0.0,-0.25,0.25,0.0,0.0
38.279,0.0,0.0,-0.25,0.25,0.0,0.0
38.378,0.0,0.0,-0.25,0.25,0.0,0.0
38.478,0.0,0.0,-0.25,0.25,0.0,0.0
38.579,0.0,0.0,-0.25,0.25,0.0,0.0
38.678,0.0,0.0,-0.25,0.25,0.0,0.0
38.781,0.0,0.0,-0.25,0.25,0.0,0.0
38.878,0.0,0.0,-0.25,0.25,0.0,0.0
38.978,0.0,0.0,-0.25,0.25,0.0,0.0
39.078,0.0,0.0,-0.25,0.25,0.0,0.0
39.178,0.0,0.0,-0.25,0.25,0.0,0.0
39.278,0.0,0.0,-0.25,0.25,0.0,0.0
39.378,0.0,0.0,-0.25,0.25,0.0,0.0
